acronym,Indicator,partner_name,Outcomes
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Institut d’Economie Rurale (Mali),3
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",International Center for Agricultural Research in the Dry Areas,3
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Office du Niger,3
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",West African Science Service Center on Climate Change and Adapted Land Use,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Agence Nationale de la Météorologie du Mali,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Theme 4 ALLIANCE,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,CSIR-Crops Research Institute,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Food Policy Research Institute,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Not Provided,3
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,West and Central African Council for Agricultural Research and Development,3
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),3
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),CSIR-Crops Research Institute,3
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),National Meteorology Agency (Ethiopia),3
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Not Provided,3
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA Regional Partner - CCARDESA,3
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Columbia University,3
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Syngenta Foundation for Sustainable Agriculture,3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),"",3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),African Climate Policy Centre,3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - ICPAC,3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Institute of Tropical Agriculture,3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Ministry of Food and Agriculture (Ghana),3
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),World Meteorological Organization,3
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - CCARDESA,3
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - NEPAD,3
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,ANACIM-National Agency of Civil Aviation and Meteorology,3
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Centro Internacional de Mejoramiento de Maíz y Trigo,3
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,National Meteorology Agency (Ethiopia),3
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Amhara Regional Agricultural Research Institute,3
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,International Center for Agricultural Research in the Dry Areas,3
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Jokalante,3
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Columbia University,3
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,International Center for Agricultural Research in the Dry Areas,3
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Jokalante,3
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Office du Niger,3
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - ASARECA,3
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - CCARDESA,3
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - ICPAC,3
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),WorldFish,3
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Agence Nationale de Conseil Agricole et Rural (Senegal),2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - ASARECA,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Theme 2 ALLIANCE,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",ANACIM-National Agency of Civil Aviation and Meteorology,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",BongoHive,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",CERAAS-Regional Study Centre for Improving Adaptation to Drought,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Climate Policy Initiative,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",National Meteorology Agency (Ethiopia),2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",West African Science Service Center on Climate Change and Adapted Land Use,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",World Agroforestry Centre,2
IPI 1.2,(2024-2025) IPI 1.2: Regional Hub for Fertilizers and Soil Health established,Africa Rice Center,2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)","",2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA Gender and Social Inclusion Leader (Lead by ILRI),2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA Theme 4 ALLIANCE,2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",ANACIM-National Agency of Civil Aviation and Meteorology,2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Centro Internacional de Mejoramiento de Maíz y Trigo,2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Council for Scientific and Industrial Research (Ghana),2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",International Crops Research Institute for the Semi-Arid Tropics,2
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",WorldFish,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Agence Nationale de Conseil Agricole et Rural (Senegal),2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - AGRHYMET,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Amhara Regional Agricultural Research Institute,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Centro Internacional de Mejoramiento de Maíz y Trigo,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Institut d’Economie Rurale (Mali),2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Jokalante,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,L’Union des Radios Associatives et Communautaires (URAC),2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Ministry of Agriculture and Natural Resources (Ethiopia),2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,National Meteorology Agency (Ethiopia),2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Regional Study Centre for Improving Adaptation to Drought,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Syngenta Foundation for Sustainable Agriculture,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,West African Science Service Center on Climate Change and Adapted Land Use,2
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,World Agroforestry Centre,2
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),ANACIM-National Agency of Civil Aviation and Meteorology,2
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),International Center for Agricultural Research in the Dry Areas,2
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Office du Niger,2
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Réseau des Organisations Paysannes et Pastorales du Sénégal,2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Agence Nationale de Conseil Agricole et Rural (Senegal),2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA Regional Partner - ASARECA,2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA WA ALLIANCE (before ICRISAT),2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Centro Internacional de Mejoramiento de Maíz y Trigo,2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Columbia University,2
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,CSIR-Crops Research Institute,2
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​","",2
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Institut d’Economie Rurale (Mali),2
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Not Provided,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),ACRE Africa-Agriculture and Climate Risk Enterprise,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - ASARECA,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - NEPAD,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Theme 4 ALLIANCE,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA WA ALLIANCE (before ICRISAT),2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),CGIAR Gender Platform,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Columbia University,2
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Shalem Investment Ltd.,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA MT ALLIANCE,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,BNARI-Biotechnology and Nuclear Agricultural Research Institute,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CSIR-CRI-CSIR-Crops Research Institute,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CSIR-Crops Research Institute,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Ethiopian Institute of Agricultural Research,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,MoFA-Ministry of Food and Agriculture (Ghana),2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,National Agency of Civil Aviation and Meteorology,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,West African Science Service Center on Climate Change and Adapted Land Use,2
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,West and Central African Council for Agricultural Research and Development,2
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,CSIR-Crops Research Institute,2
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Office du Niger,2
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Regional Study Centre for Improving Adaptation to Drought,2
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Amhara Regional Agricultural Research Institute,2
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,CSIR-Crops Research Institute,2
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,IER-Institut d’Economie Rurale (Mali),2
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,ON-Office du Niger,2
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,African Group of Negotiators Expert Support,2
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Theme 1 ILRI,2
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,International Livestock Research Institute,2
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,West African Science Service Center on Climate Change and Adapted Land Use,2
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,World Agroforestry Centre,2
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),"",2
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),2
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),CSIR-Crops Research Institute,2
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),International Institute of Tropical Agriculture,2
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),International Livestock Research Institute,2
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Addis Ababa University,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",African Climate Policy Centre,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA MT ALLIANCE,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - CCARDESA,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Amhara Regional Agricultural Research Institute,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Bentley University,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Biotechnology and Nuclear Agricultural Research Institute,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",BNARI-Biotechnology and Nuclear Agricultural Research Institute,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",CGIAR ICRISAT-International Crops Research Institute for the Semi-Arid Tropics,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Council for Scientific and Industrial Research (Ghana),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",CSIR-CRI-CSIR-Crops Research Institute,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Eastern Africa Farmers Federation,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Ethiopian Institute of Agricultural Research,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Institut d’Economie Rurale (Mali),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",KALRO-Kenya Agricultural and Livestock Research Organization,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",L’Union des Radios Associatives et Communautaires (URAC),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Ministry of Agriculture and Natural Resources (Ethiopia),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Ministry of Food and Agriculture (Ghana),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",MoFA-Ministry of Food and Agriculture (Ghana),1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",National Agency of Civil Aviation and Meteorology,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Office du Niger,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Regional Study Centre for Improving Adaptation to Drought,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Réseau des Organisations Paysannes et Pastorales du Sénégal,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Syngenta Foundation for Sustainable Agriculture,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",UN Women,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",UN Women-UN Women,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",West and Central African Council for Agricultural Research and Development,1
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",World Meteorological Organization,1
IPI 1.2,(2024-2025) IPI 1.2: Regional Hub for Fertilizers and Soil Health established,Office du Niger,1
IPI 1.2,(2024-2025) IPI 1.2: Regional Hub for Fertilizers and Soil Health established,Syngenta Foundation for Sustainable Agriculture,1
IPI 1.3,(2024-2025) IPI 1.3: New soil mapping generated by the Regional Hub for Fertilizer and Soil Health (Hectares)​,Africa Rice Center,1
IPI 1.3,(2024-2025) IPI 1.3: New soil mapping generated by the Regional Hub for Fertilizer and Soil Health (Hectares)​,Institut d’Economie Rurale (Mali),1
IPI 1.3,(2024-2025) IPI 1.3: New soil mapping generated by the Regional Hub for Fertilizer and Soil Health (Hectares)​,Office du Niger,1
IPI 1.3,(2024-2025) IPI 1.3: New soil mapping generated by the Regional Hub for Fertilizer and Soil Health (Hectares)​,Syngenta Foundation for Sustainable Agriculture,1
IPI 1.4,(2024-2025) IPI 1.4: Appropriate fertilizer nutrient requirements developed for specific crop and soil combinations within prioritized target areas (Hectares)​,International Livestock Research Institute,1
IPI 1.4,(2024-2025) IPI 1.4: Appropriate fertilizer nutrient requirements developed for specific crop and soil combinations within prioritized target areas (Hectares)​,Syngenta Foundation for Sustainable Agriculture,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Addis Ababa University,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA Regional Partner - AGRHYMET,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA Regional Partner - RUFORUM,1
